"","cc1","pconf3","pcomp3","cc2fixed","cc3","pconf1","pcomp1","cc4fixed","cc5","pconf2","pcomp2","cc6fixed","ResponseId","religion3","course","biomajor","institution","gender","semester","raceoriginal","pconf","pcomp"
"1",1,5,2,4,2,4,2,4,2,4,2,4,"R_03wnYk6E7WnkC2d","Atheist",43,"No",1,"Woman","Fall 2020","White",4.33333333333333,2
"2",4,2,2,4,2,4,4,2,2,4,4,2,"R_0BvXDCXnOR84Ss1","Atheist",14,"No",1,"Man","Spring 2020","White",3.33333333333333,3.33333333333333
"3",4,2,4,2,1,5,5,1,1,5,5,1,"R_0DnZzWt3fvYo6wV","Atheist",48,"Yes",11,"Man","Fall 2020","White",4,4.66666666666667
"4",5,1,5,1,4,2,5,1,4,2,5,1,"R_0fwfI0CTsJrqtSp","Atheist",16,"Yes",1,"Woman","Spring 2020","Latinx",1.66666666666667,5
"5",4,2,4,2,3,3,4,2,4,2,4,2,"R_0HeKZZBLi9SY9AR","Atheist",56,"Yes",16,"Man","Fall 2020","Asian",2.33333333333333,4
"6",3,3,3,3,3,3,4,2,4,2,4,2,"R_0J52dh59KCSBqLL","Atheist",56,"Yes",16,"Woman","Fall 2020","Asian",2.66666666666667,3.66666666666667
"7",4,2,3,3,3,3,4,2,4,2,4,2,"R_0jFNeuS731tXPax","Atheist",48,"Yes",11,"Woman","Fall 2020","White",2.33333333333333,3.66666666666667
"8",3,3,3,3,3,3,4,2,2,4,4,2,"R_0kacJC9GYeKag9P","Atheist",56,"No",16,"Woman","Fall 2020","Asian",3.33333333333333,3.66666666666667
"9",4,2,3,3,3,3,3,3,3,3,5,1,"R_0PnwzJPcPp6wRvb","Atheist",40,"Yes",23,"Woman","Spring 2020","Multiracial",2.66666666666667,3.66666666666667
"10",4,2,4,2,4,2,4,2,2,4,4,2,"R_0pSlWzdaFoGlFn3","Atheist",63,"No",8,"Man","Spring 2021","White",2.66666666666667,4
"11",3,3,2,4,2,4,2,4,1,5,1,5,"R_0PWob8TXRr1W1nX","Atheist",51,"No",13,"Woman","Fall 2020","Latinx",4,1.66666666666667
"12",2,4,2,4,2,4,2,4,2,4,2,4,"R_0uOi9lmkFEjawbn","Atheist",8,"No",11,"Woman","Fall 2018","Asian",4,2
"13",5,1,4,2,4,2,5,1,3,3,5,1,"R_0Vs7hMT38TB2KIx","Atheist",10,"Yes",18,"Man","Fall 2018","Asian",2,4.66666666666667
"14",5,1,5,1,5,1,5,1,5,1,5,1,"R_10AiouTfanCgAph","Atheist",55,"No",17,"Woman","Fall 2020","White",1,5
"15",4,2,3,3,2,4,3,3,2,4,4,2,"R_10BsdidcsPU6Hk5","Atheist",63,"Yes",8,"Woman","Spring 2021","Asian",3.33333333333333,3.33333333333333
"16",4,2,4,2,4,2,4,2,2,4,4,2,"R_10CcDrhrOaPlEsf","Atheist",56,"Yes",16,"Woman","Fall 2020","Asian",2.66666666666667,4
"17",3,3,3,3,3,3,4,2,3,3,3,3,"R_10CUF3KWNBpLKy7","Atheist",69,"No",13,"Man","Spring 2021","White",3,3.33333333333333
"18",4,2,4,2,4,2,3,3,3,3,4,2,"R_10MEW0647rF2KaL","Atheist",56,"No",16,"Woman","Fall 2020","White",2.33333333333333,3.66666666666667
"19",4,2,4,2,4,2,4,2,2,4,4,2,"R_10NNeU8VE9WQ32S","Atheist",17,"Yes",1,"Woman","Spring 2020","White",2.66666666666667,4
"20",3,3,3,3,4,2,4,2,3,3,4,2,"R_10OQ377Gfioi8M3","Atheist",56,"No",16,"Man","Fall 2020","Multiracial",2.66666666666667,3.66666666666667
"21",3,3,4,2,3,3,4,2,3,3,4,2,"R_10pclytW5cI1UEa","Atheist",48,"No",11,"Woman","Fall 2020","White",3,4
"22",2,4,2,4,2,4,4,2,2,4,2,4,"R_10TraLU8oeDlx0q","Atheist",43,"No",1,"Woman","Fall 2020","White",4,2.66666666666667
"23",5,1,4,2,2,4,5,1,4,2,4,2,"R_10vhFJ21YD7XcVT","Atheist",56,"Yes",16,"Woman","Fall 2020","Latinx",2.33333333333333,4.33333333333333
"24",5,1,2,4,4,2,5,1,2,4,5,1,"R_10vnI8MQzBjEBfT","Atheist",56,"Yes",16,"Man","Fall 2020","Asian",2.33333333333333,4
"25",3,3,2,4,2,4,4,2,4,2,4,2,"R_110zwwfSYn7DPMs","Atheist",50,"Yes",13,"Woman","Fall 2020","White",3,3.33333333333333
